Sat Jan 11 23:10:55 CET 2014: Problem Count: 30
Sat Jan 11 23:10:55 CET 2014: CandidatesCount: 40
Sat Jan 11 23:10:55 CET 2014: Max Cycles: 500
Sat Jan 11 23:10:56 CET 2014: 0: finished (335ms, 500cycles)
Sat Jan 11 23:10:56 CET 2014: 0: No solution found.
Sat Jan 11 23:10:56 CET 2014: 1: finished (258ms, 500cycles)
Sat Jan 11 23:10:56 CET 2014: 1: No solution found.
Sat Jan 11 23:10:56 CET 2014: 2: finished (189ms, 500cycles)
Sat Jan 11 23:10:56 CET 2014: 2: No solution found.
Sat Jan 11 23:10:56 CET 2014: 3: finished (236ms, 500cycles)
Sat Jan 11 23:10:56 CET 2014: 3: No solution found.
Sat Jan 11 23:10:57 CET 2014: 4: finished (382ms, 500cycles)
Sat Jan 11 23:10:57 CET 2014: 4: No solution found.
Sat Jan 11 23:10:57 CET 2014: 5: finished (273ms, 500cycles)
Sat Jan 11 23:10:57 CET 2014: 5: No solution found.
Sat Jan 11 23:10:57 CET 2014: 6: finished (314ms, 500cycles)
Sat Jan 11 23:10:57 CET 2014: 6: No solution found.
Sat Jan 11 23:10:58 CET 2014: 7: finished (278ms, 500cycles)
Sat Jan 11 23:10:58 CET 2014: 7: No solution found.
Sat Jan 11 23:10:58 CET 2014: 8: finished (269ms, 500cycles)
Sat Jan 11 23:10:58 CET 2014: 8: No solution found.
Sat Jan 11 23:10:58 CET 2014: 9: finished (252ms, 500cycles)
Sat Jan 11 23:10:58 CET 2014: 9: No solution found.
Sat Jan 11 23:10:59 CET 2014: 10: finished (378ms, 500cycles)
Sat Jan 11 23:10:59 CET 2014: 10: No solution found.
Sat Jan 11 23:10:59 CET 2014: 11: finished (327ms, 500cycles)
Sat Jan 11 23:10:59 CET 2014: 11: No solution found.
Sat Jan 11 23:10:59 CET 2014: 12: finished (219ms, 500cycles)
Sat Jan 11 23:10:59 CET 2014: 12: No solution found.
Sat Jan 11 23:10:59 CET 2014: 13: finished (275ms, 500cycles)
Sat Jan 11 23:10:59 CET 2014: 13: No solution found.
Sat Jan 11 23:11:00 CET 2014: 14: finished (218ms, 500cycles)
Sat Jan 11 23:11:00 CET 2014: 14: No solution found.
Sat Jan 11 23:11:00 CET 2014: 15: finished (269ms, 500cycles)
Sat Jan 11 23:11:00 CET 2014: 15: No solution found.
Sat Jan 11 23:11:00 CET 2014: 16: finished (327ms, 500cycles)
Sat Jan 11 23:11:00 CET 2014: 16: No solution found.
Sat Jan 11 23:11:01 CET 2014: 17: finished (356ms, 500cycles)
Sat Jan 11 23:11:01 CET 2014: 17: No solution found.
Sat Jan 11 23:11:01 CET 2014: 18: finished (327ms, 500cycles)
Sat Jan 11 23:11:01 CET 2014: 18: No solution found.
Sat Jan 11 23:11:01 CET 2014: 19: finished (314ms, 500cycles)
Sat Jan 11 23:11:01 CET 2014: 19: No solution found.
Sat Jan 11 23:11:02 CET 2014: 20: finished (326ms, 500cycles)
Sat Jan 11 23:11:02 CET 2014: 20: No solution found.
Sat Jan 11 23:11:02 CET 2014: 21: finished (257ms, 500cycles)
Sat Jan 11 23:11:02 CET 2014: 21: No solution found.
Sat Jan 11 23:11:02 CET 2014: 22: finished (215ms, 500cycles)
Sat Jan 11 23:11:02 CET 2014: 22: No solution found.
Sat Jan 11 23:11:02 CET 2014: 23: finished (257ms, 500cycles)
Sat Jan 11 23:11:02 CET 2014: 23: No solution found.
Sat Jan 11 23:11:03 CET 2014: 24: finished (346ms, 500cycles)
Sat Jan 11 23:11:03 CET 2014: 24: No solution found.
Sat Jan 11 23:11:03 CET 2014: 25: finished (242ms, 500cycles)
Sat Jan 11 23:11:03 CET 2014: 25: No solution found.
Sat Jan 11 23:11:03 CET 2014: 26: finished (317ms, 500cycles)
Sat Jan 11 23:11:03 CET 2014: 26: No solution found.
Sat Jan 11 23:11:03 CET 2014: 27: finished (212ms, 500cycles)
Sat Jan 11 23:11:03 CET 2014: 27: No solution found.
Sat Jan 11 23:11:04 CET 2014: 28: finished (334ms, 500cycles)
Sat Jan 11 23:11:04 CET 2014: 28: No solution found.
Sat Jan 11 23:11:04 CET 2014: 29: finished (243ms, 500cycles)
Sat Jan 11 23:11:04 CET 2014: 29: No solution found.
Sat Jan 11 23:11:04 CET 2014: 30: finished (300ms, 500cycles)
Sat Jan 11 23:11:04 CET 2014: 30: No solution found.
Sat Jan 11 23:11:05 CET 2014: 31: finished (252ms, 500cycles)
Sat Jan 11 23:11:05 CET 2014: 31: No solution found.
Sat Jan 11 23:11:05 CET 2014: 32: finished (340ms, 500cycles)
Sat Jan 11 23:11:05 CET 2014: 32: No solution found.
Sat Jan 11 23:11:05 CET 2014: 33: finished (358ms, 500cycles)
Sat Jan 11 23:11:05 CET 2014: 33: No solution found.
Sat Jan 11 23:11:06 CET 2014: 34: finished (311ms, 500cycles)
Sat Jan 11 23:11:06 CET 2014: 34: No solution found.
Sat Jan 11 23:11:06 CET 2014: 35: finished (222ms, 500cycles)
Sat Jan 11 23:11:06 CET 2014: 35: No solution found.
Sat Jan 11 23:11:06 CET 2014: 36: finished (347ms, 500cycles)
Sat Jan 11 23:11:06 CET 2014: 36: No solution found.
Sat Jan 11 23:11:07 CET 2014: 37: finished (441ms, 500cycles)
Sat Jan 11 23:11:07 CET 2014: 37: No solution found.
Sat Jan 11 23:11:07 CET 2014: 38: finished (269ms, 500cycles)
Sat Jan 11 23:11:07 CET 2014: 38: No solution found.
Sat Jan 11 23:11:07 CET 2014: 39: finished (254ms, 500cycles)
Sat Jan 11 23:11:07 CET 2014: 39: No solution found.
Sat Jan 11 23:11:07 CET 2014: 40: finished (203ms, 500cycles)
Sat Jan 11 23:11:07 CET 2014: 40: No solution found.
Sat Jan 11 23:11:08 CET 2014: 41: finished (222ms, 500cycles)
Sat Jan 11 23:11:08 CET 2014: 41: No solution found.
Sat Jan 11 23:11:08 CET 2014: 42: finished (227ms, 500cycles)
Sat Jan 11 23:11:08 CET 2014: 42: No solution found.
Sat Jan 11 23:11:08 CET 2014: 43: finished (235ms, 500cycles)
Sat Jan 11 23:11:08 CET 2014: 43: No solution found.
Sat Jan 11 23:11:08 CET 2014: 44: finished (283ms, 500cycles)
Sat Jan 11 23:11:08 CET 2014: 44: No solution found.
Sat Jan 11 23:11:09 CET 2014: 45: finished (331ms, 500cycles)
Sat Jan 11 23:11:09 CET 2014: 45: No solution found.
Sat Jan 11 23:11:09 CET 2014: 46: finished (433ms, 500cycles)
