Sat Jan 11 18:40:54 CET 2014: Problem Count: 50
Sat Jan 11 18:40:54 CET 2014: CandidatesCount: 50
Sat Jan 11 18:40:54 CET 2014: Max Cycles: 500
Sat Jan 11 18:40:54 CET 2014: 0: finished (439ms, 500cycles)
Sat Jan 11 18:40:54 CET 2014: 0: No solution found.
Sat Jan 11 18:40:55 CET 2014: 1: finished (578ms, 500cycles)
Sat Jan 11 18:40:55 CET 2014: 1: No solution found.
Sat Jan 11 18:40:56 CET 2014: 2: finished (1420ms, 500cycles)
Sat Jan 11 18:40:56 CET 2014: 2: No solution found.
Sat Jan 11 18:40:58 CET 2014: 3: finished (1599ms, 500cycles)
Sat Jan 11 18:40:58 CET 2014: 3: No solution found.
Sat Jan 11 18:40:59 CET 2014: 4: finished (1510ms, 500cycles)
Sat Jan 11 18:40:59 CET 2014: 4: No solution found.
Sat Jan 11 18:41:01 CET 2014: 5: finished (1528ms, 500cycles)
Sat Jan 11 18:41:01 CET 2014: 5: No solution found.
Sat Jan 11 18:41:01 CET 2014: 6: finished (681ms, 500cycles)
Sat Jan 11 18:41:01 CET 2014: 6: No solution found.
Sat Jan 11 18:41:02 CET 2014: 7: finished (442ms, 500cycles)
Sat Jan 11 18:41:02 CET 2014: 7: No solution found.
Sat Jan 11 18:41:02 CET 2014: 8: finished (566ms, 500cycles)
Sat Jan 11 18:41:02 CET 2014: 8: No solution found.
Sat Jan 11 18:41:03 CET 2014: 9: finished (578ms, 500cycles)
Sat Jan 11 18:41:03 CET 2014: 9: No solution found.
Sat Jan 11 18:41:04 CET 2014: 10: finished (500ms, 500cycles)
Sat Jan 11 18:41:04 CET 2014: 10: No solution found.
Sat Jan 11 18:41:04 CET 2014: 11: finished (555ms, 500cycles)
Sat Jan 11 18:41:04 CET 2014: 11: No solution found.
Sat Jan 11 18:41:05 CET 2014: 12: finished (603ms, 500cycles)
Sat Jan 11 18:41:05 CET 2014: 12: No solution found.
