Sat Jan 11 23:31:07 CET 2014: Problem Count: 10
Sat Jan 11 23:31:07 CET 2014: CandidatesCount: 50
Sat Jan 11 23:31:07 CET 2014: Max Cycles: 500
Sat Jan 11 23:31:07 CET 2014: 0: finished (253ms, 500cycles)
Sat Jan 11 23:31:07 CET 2014: 0: No solution found.
Sat Jan 11 23:31:07 CET 2014: 1: finished (229ms, 500cycles)
Sat Jan 11 23:31:07 CET 2014: 1: No solution found.
Sat Jan 11 23:31:08 CET 2014: 2: finished (320ms, 500cycles)
Sat Jan 11 23:31:08 CET 2014: 2: No solution found.
Sat Jan 11 23:31:08 CET 2014: 3: finished (425ms, 500cycles)
Sat Jan 11 23:31:08 CET 2014: 3: No solution found.
Sat Jan 11 23:31:08 CET 2014: 4: finished (208ms, 500cycles)
Sat Jan 11 23:31:08 CET 2014: 4: No solution found.
Sat Jan 11 23:31:09 CET 2014: 5: finished (362ms, 500cycles)
Sat Jan 11 23:31:09 CET 2014: 5: No solution found.
Sat Jan 11 23:31:09 CET 2014: 6: finished (284ms, 500cycles)
Sat Jan 11 23:31:09 CET 2014: 6: No solution found.
Sat Jan 11 23:31:09 CET 2014: 7: finished (300ms, 500cycles)
Sat Jan 11 23:31:09 CET 2014: 7: No solution found.
Sat Jan 11 23:31:09 CET 2014: 8: finished (193ms, 500cycles)
Sat Jan 11 23:31:09 CET 2014: 8: No solution found.
Sat Jan 11 23:31:10 CET 2014: 9: finished (192ms, 500cycles)
Sat Jan 11 23:31:10 CET 2014: 9: No solution found.
Sat Jan 11 23:31:10 CET 2014: 10: finished (221ms, 500cycles)
Sat Jan 11 23:31:10 CET 2014: 10: No solution found.
Sat Jan 11 23:31:10 CET 2014: 11: finished (248ms, 500cycles)
Sat Jan 11 23:31:10 CET 2014: 11: No solution found.
Sat Jan 11 23:31:10 CET 2014: 12: finished (367ms, 500cycles)
Sat Jan 11 23:31:10 CET 2014: 12: No solution found.
Sat Jan 11 23:31:11 CET 2014: 13: finished (317ms, 500cycles)
Sat Jan 11 23:31:11 CET 2014: 13: No solution found.
Sat Jan 11 23:31:11 CET 2014: 14: finished (341ms, 500cycles)
Sat Jan 11 23:31:11 CET 2014: 14: No solution found.
Sat Jan 11 23:31:11 CET 2014: 15: finished (331ms, 500cycles)
Sat Jan 11 23:31:11 CET 2014: 15: No solution found.
Sat Jan 11 23:31:12 CET 2014: 16: finished (214ms, 500cycles)
Sat Jan 11 23:31:12 CET 2014: 16: No solution found.
Sat Jan 11 23:31:12 CET 2014: 17: finished (339ms, 500cycles)
Sat Jan 11 23:31:12 CET 2014: 17: No solution found.
Sat Jan 11 23:31:12 CET 2014: 18: finished (272ms, 500cycles)
Sat Jan 11 23:31:12 CET 2014: 18: No solution found.
Sat Jan 11 23:31:12 CET 2014: 19: finished (244ms, 500cycles)
Sat Jan 11 23:31:12 CET 2014: 19: No solution found.
Sat Jan 11 23:31:13 CET 2014: 20: finished (224ms, 500cycles)
Sat Jan 11 23:31:13 CET 2014: 20: No solution found.
Sat Jan 11 23:31:13 CET 2014: 21: finished (246ms, 500cycles)
Sat Jan 11 23:31:13 CET 2014: 21: No solution found.
Sat Jan 11 23:31:13 CET 2014: 22: finished (469ms, 500cycles)
Sat Jan 11 23:31:13 CET 2014: 22: No solution found.
Sat Jan 11 23:31:14 CET 2014: 23: finished (220ms, 500cycles)
Sat Jan 11 23:31:14 CET 2014: 23: No solution found.
Sat Jan 11 23:31:14 CET 2014: 24: finished (166ms, 500cycles)
Sat Jan 11 23:31:14 CET 2014: 24: No solution found.
Sat Jan 11 23:31:14 CET 2014: 25: finished (253ms, 500cycles)
Sat Jan 11 23:31:14 CET 2014: 25: No solution found.
Sat Jan 11 23:31:14 CET 2014: 26: finished (283ms, 500cycles)
Sat Jan 11 23:31:14 CET 2014: 26: No solution found.
Sat Jan 11 23:31:15 CET 2014: 27: finished (318ms, 500cycles)
Sat Jan 11 23:31:15 CET 2014: 27: No solution found.
Sat Jan 11 23:31:15 CET 2014: 28: finished (300ms, 500cycles)
Sat Jan 11 23:31:15 CET 2014: 28: No solution found.
Sat Jan 11 23:31:15 CET 2014: 29: finished (302ms, 500cycles)
Sat Jan 11 23:31:15 CET 2014: 29: No solution found.
Sat Jan 11 23:31:16 CET 2014: 30: finished (408ms, 500cycles)
Sat Jan 11 23:31:16 CET 2014: 30: No solution found.
Sat Jan 11 23:31:16 CET 2014: 31: finished (413ms, 500cycles)
Sat Jan 11 23:31:16 CET 2014: 31: No solution found.
Sat Jan 11 23:31:16 CET 2014: 32: finished (263ms, 500cycles)
Sat Jan 11 23:31:16 CET 2014: 32: No solution found.
Sat Jan 11 23:31:17 CET 2014: 33: finished (270ms, 500cycles)
Sat Jan 11 23:31:17 CET 2014: 33: No solution found.
Sat Jan 11 23:31:17 CET 2014: 34: finished (297ms, 500cycles)
Sat Jan 11 23:31:17 CET 2014: 34: No solution found.
Sat Jan 11 23:31:17 CET 2014: 35: finished (290ms, 500cycles)
Sat Jan 11 23:31:17 CET 2014: 35: No solution found.
Sat Jan 11 23:31:18 CET 2014: 36: finished (462ms, 500cycles)
Sat Jan 11 23:31:18 CET 2014: 36: No solution found.
Sat Jan 11 23:31:18 CET 2014: 37: finished (293ms, 500cycles)
Sat Jan 11 23:31:18 CET 2014: 37: No solution found.
Sat Jan 11 23:31:18 CET 2014: 38: finished (214ms, 500cycles)
Sat Jan 11 23:31:18 CET 2014: 38: No solution found.
Sat Jan 11 23:31:19 CET 2014: 39: finished (405ms, 500cycles)
Sat Jan 11 23:31:19 CET 2014: 39: No solution found.
Sat Jan 11 23:31:19 CET 2014: 40: finished (344ms, 500cycles)
Sat Jan 11 23:31:19 CET 2014: 40: No solution found.
Sat Jan 11 23:31:19 CET 2014: 41: finished (292ms, 500cycles)
Sat Jan 11 23:31:19 CET 2014: 41: No solution found.
Sat Jan 11 23:31:20 CET 2014: 42: finished (292ms, 500cycles)
Sat Jan 11 23:31:20 CET 2014: 42: No solution found.
Sat Jan 11 23:31:20 CET 2014: 43: finished (282ms, 500cycles)
Sat Jan 11 23:31:20 CET 2014: 43: No solution found.
Sat Jan 11 23:31:20 CET 2014: 44: finished (260ms, 500cycles)
Sat Jan 11 23:31:20 CET 2014: 44: No solution found.
Sat Jan 11 23:31:20 CET 2014: 45: finished (257ms, 500cycles)
Sat Jan 11 23:31:20 CET 2014: 45: No solution found.
Sat Jan 11 23:31:21 CET 2014: 46: finished (246ms, 500cycles)
Sat Jan 11 23:31:21 CET 2014: 46: No solution found.
Sat Jan 11 23:31:21 CET 2014: 47: finished (208ms, 500cycles)
Sat Jan 11 23:31:21 CET 2014: 47: No solution found.
Sat Jan 11 23:31:21 CET 2014: 48: finished (353ms, 500cycles)
Sat Jan 11 23:31:21 CET 2014: 48: No solution found.
Sat Jan 11 23:31:21 CET 2014: 49: finished (367ms, 500cycles)
Sat Jan 11 23:31:21 CET 2014: 49: No solution found.
Sat Jan 11 23:31:22 CET 2014: 50: finished (198ms, 500cycles)
Sat Jan 11 23:31:22 CET 2014: 50: No solution found.
Sat Jan 11 23:31:22 CET 2014: 51: finished (218ms, 500cycles)
Sat Jan 11 23:31:22 CET 2014: 51: No solution found.
Sat Jan 11 23:31:22 CET 2014: 52: finished (338ms, 500cycles)
Sat Jan 11 23:31:22 CET 2014: 52: No solution found.
Sat Jan 11 23:31:23 CET 2014: 53: finished (273ms, 500cycles)
Sat Jan 11 23:31:23 CET 2014: 53: No solution found.
Sat Jan 11 23:31:23 CET 2014: 54: finished (342ms, 500cycles)
Sat Jan 11 23:31:23 CET 2014: 54: No solution found.
Sat Jan 11 23:31:23 CET 2014: 55: finished (236ms, 500cycles)
Sat Jan 11 23:31:23 CET 2014: 55: No solution found.
Sat Jan 11 23:31:23 CET 2014: 56: finished (343ms, 500cycles)
Sat Jan 11 23:31:23 CET 2014: 56: No solution found.
Sat Jan 11 23:31:24 CET 2014: 57: finished (344ms, 500cycles)
Sat Jan 11 23:31:24 CET 2014: 57: No solution found.
Sat Jan 11 23:31:24 CET 2014: 58: finished (287ms, 500cycles)
Sat Jan 11 23:31:24 CET 2014: 58: No solution found.
Sat Jan 11 23:31:24 CET 2014: 59: finished (316ms, 500cycles)
Sat Jan 11 23:31:24 CET 2014: 59: No solution found.
Sat Jan 11 23:31:25 CET 2014: 60: finished (242ms, 500cycles)
Sat Jan 11 23:31:25 CET 2014: 60: No solution found.
Sat Jan 11 23:31:25 CET 2014: 61: finished (389ms, 500cycles)
Sat Jan 11 23:31:25 CET 2014: 61: No solution found.
Sat Jan 11 23:31:25 CET 2014: 62: finished (250ms, 500cycles)
Sat Jan 11 23:31:25 CET 2014: 62: No solution found.
Sat Jan 11 23:31:26 CET 2014: 63: finished (305ms, 500cycles)
Sat Jan 11 23:31:26 CET 2014: 63: No solution found.
Sat Jan 11 23:31:26 CET 2014: 64: finished (176ms, 500cycles)
Sat Jan 11 23:31:26 CET 2014: 64: No solution found.
Sat Jan 11 23:31:26 CET 2014: 65: finished (464ms, 500cycles)
Sat Jan 11 23:31:26 CET 2014: 65: No solution found.
Sat Jan 11 23:31:27 CET 2014: 66: finished (346ms, 500cycles)
Sat Jan 11 23:31:27 CET 2014: 66: No solution found.
Sat Jan 11 23:31:27 CET 2014: 67: finished (298ms, 500cycles)
Sat Jan 11 23:31:27 CET 2014: 67: No solution found.
Sat Jan 11 23:31:27 CET 2014: 68: finished (301ms, 500cycles)
Sat Jan 11 23:31:27 CET 2014: 68: No solution found.
Sat Jan 11 23:31:27 CET 2014: 69: finished (300ms, 500cycles)
Sat Jan 11 23:31:27 CET 2014: 69: No solution found.
Sat Jan 11 23:31:28 CET 2014: 70: finished (361ms, 500cycles)
Sat Jan 11 23:31:28 CET 2014: 70: No solution found.
Sat Jan 11 23:31:28 CET 2014: 71: finished (220ms, 500cycles)
Sat Jan 11 23:31:28 CET 2014: 71: No solution found.
Sat Jan 11 23:31:28 CET 2014: 72: finished (217ms, 500cycles)
Sat Jan 11 23:31:28 CET 2014: 72: No solution found.
Sat Jan 11 23:31:28 CET 2014: 73: finished (176ms, 500cycles)
Sat Jan 11 23:31:28 CET 2014: 73: No solution found.
Sat Jan 11 23:31:29 CET 2014: 74: finished (211ms, 500cycles)
Sat Jan 11 23:31:29 CET 2014: 74: No solution found.
Sat Jan 11 23:31:29 CET 2014: 75: finished (180ms, 500cycles)
Sat Jan 11 23:31:29 CET 2014: 75: No solution found.
Sat Jan 11 23:31:29 CET 2014: 76: finished (305ms, 500cycles)
Sat Jan 11 23:31:29 CET 2014: 76: No solution found.
Sat Jan 11 23:31:29 CET 2014: 77: finished (287ms, 500cycles)
Sat Jan 11 23:31:29 CET 2014: 77: No solution found.
Sat Jan 11 23:31:30 CET 2014: 78: finished (257ms, 500cycles)
Sat Jan 11 23:31:30 CET 2014: 78: No solution found.
Sat Jan 11 23:31:30 CET 2014: 79: finished (364ms, 500cycles)
Sat Jan 11 23:31:30 CET 2014: 79: No solution found.
Sat Jan 11 23:31:30 CET 2014: 80: finished (355ms, 500cycles)
Sat Jan 11 23:31:30 CET 2014: 80: No solution found.
Sat Jan 11 23:31:31 CET 2014: 81: finished (350ms, 500cycles)
Sat Jan 11 23:31:31 CET 2014: 81: No solution found.
Sat Jan 11 23:31:31 CET 2014: 82: finished (275ms, 500cycles)
Sat Jan 11 23:31:31 CET 2014: 82: No solution found.
Sat Jan 11 23:31:31 CET 2014: 83: finished (366ms, 500cycles)
Sat Jan 11 23:31:31 CET 2014: 83: No solution found.
Sat Jan 11 23:31:32 CET 2014: 84: finished (347ms, 500cycles)
Sat Jan 11 23:31:32 CET 2014: 84: No solution found.
Sat Jan 11 23:31:32 CET 2014: 85: finished (357ms, 500cycles)
Sat Jan 11 23:31:32 CET 2014: 85: No solution found.
