Fri Dec 27 19:14:42 CET 2013: 45: finished (1922ms, 500cycles)
Fri Dec 27 19:14:42 CET 2013: 45: No solution found.
Fri Dec 27 19:14:43 CET 2013: 46: finished (349ms, 82cycles)
Fri Dec 27 19:14:43 CET 2013: 46: Solution found.
Fri Dec 27 19:14:44 CET 2013: 47: finished (1885ms, 500cycles)
Fri Dec 27 19:14:44 CET 2013: 47: No solution found.
Fri Dec 27 19:14:46 CET 2013: 48: finished (1680ms, 500cycles)
Fri Dec 27 19:14:46 CET 2013: 48: No solution found.
Fri Dec 27 19:14:48 CET 2013: 49: finished (1845ms, 500cycles)
Fri Dec 27 19:14:48 CET 2013: 49: No solution found.
Fri Dec 27 19:14:50 CET 2013: 50: finished (1910ms, 500cycles)
Fri Dec 27 19:14:50 CET 2013: 50: No solution found.
Fri Dec 27 19:14:52 CET 2013: 51: finished (1818ms, 500cycles)
Fri Dec 27 19:14:52 CET 2013: 51: No solution found.
Fri Dec 27 19:14:54 CET 2013: 52: finished (1806ms, 500cycles)
Fri Dec 27 19:14:54 CET 2013: 52: No solution found.
Fri Dec 27 19:14:55 CET 2013: 53: finished (1890ms, 500cycles)
Fri Dec 27 19:14:55 CET 2013: 53: No solution found.
Fri Dec 27 19:14:57 CET 2013: 54: finished (1974ms, 500cycles)
Fri Dec 27 19:14:57 CET 2013: 54: No solution found.
Fri Dec 27 19:14:59 CET 2013: 55: finished (1941ms, 500cycles)
Fri Dec 27 19:14:59 CET 2013: 55: No solution found.
Fri Dec 27 19:15:02 CET 2013: 56: finished (2347ms, 500cycles)
Fri Dec 27 19:15:02 CET 2013: 56: No solution found.
Fri Dec 27 19:15:03 CET 2013: 57: finished (1766ms, 500cycles)
Fri Dec 27 19:15:03 CET 2013: 57: No solution found.
Fri Dec 27 19:15:05 CET 2013: 58: finished (1890ms, 500cycles)
Fri Dec 27 19:15:05 CET 2013: 58: No solution found.
Fri Dec 27 19:15:11 CET 2013: 59: finished (5600ms, 500cycles)
Fri Dec 27 19:15:11 CET 2013: 59: No solution found.
Fri Dec 27 19:15:11 CET 2013: 60: finished (178ms, 37cycles)
Fri Dec 27 19:15:11 CET 2013: 60: Solution found.
Fri Dec 27 19:15:11 CET 2013: 61: finished (134ms, 34cycles)
Fri Dec 27 19:15:11 CET 2013: 61: Solution found.
Fri Dec 27 19:15:13 CET 2013: 62: finished (1834ms, 500cycles)
Fri Dec 27 19:15:13 CET 2013: 62: No solution found.
Fri Dec 27 19:15:15 CET 2013: 63: finished (1970ms, 500cycles)
Fri Dec 27 19:15:15 CET 2013: 63: No solution found.
Fri Dec 27 19:15:17 CET 2013: 64: finished (1759ms, 500cycles)
Fri Dec 27 19:15:17 CET 2013: 64: No solution found.
Fri Dec 27 19:15:20 CET 2013: 65: finished (2763ms, 500cycles)
Fri Dec 27 19:15:20 CET 2013: 65: No solution found.
Fri Dec 27 19:15:22 CET 2013: 66: finished (1945ms, 500cycles)
Fri Dec 27 19:15:22 CET 2013: 66: No solution found.
Fri Dec 27 19:15:23 CET 2013: 67: finished (1664ms, 500cycles)
