Sat Dec 28 14:02:20 CET 2013: 44: finished (11098ms, 1000cycles)
Sat Dec 28 14:02:20 CET 2013: 44: No solution found.
Sat Dec 28 14:02:34 CET 2013: 45: finished (13749ms, 1000cycles)
Sat Dec 28 14:02:34 CET 2013: 45: No solution found.
Sat Dec 28 14:02:44 CET 2013: 46: finished (10890ms, 1000cycles)
Sat Dec 28 14:02:44 CET 2013: 46: No solution found.
Sat Dec 28 14:02:55 CET 2013: 47: finished (10938ms, 1000cycles)
Sat Dec 28 14:02:55 CET 2013: 47: No solution found.
Sat Dec 28 14:03:09 CET 2013: 48: finished (13820ms, 1000cycles)
Sat Dec 28 14:03:09 CET 2013: 48: No solution found.
Sat Dec 28 14:03:11 CET 2013: 49: finished (1924ms, 163cycles)
Sat Dec 28 14:03:11 CET 2013: 49: Solution found.
Sat Dec 28 14:03:22 CET 2013: 50: finished (10834ms, 1000cycles)
Sat Dec 28 14:03:22 CET 2013: 50: No solution found.
Sat Dec 28 14:03:33 CET 2013: 51: finished (11044ms, 1000cycles)
Sat Dec 28 14:03:33 CET 2013: 51: No solution found.
Sat Dec 28 14:03:44 CET 2013: 52: finished (11132ms, 1000cycles)
Sat Dec 28 14:03:44 CET 2013: 52: No solution found.
Sat Dec 28 14:03:58 CET 2013: 53: finished (13795ms, 1000cycles)
Sat Dec 28 14:03:58 CET 2013: 53: No solution found.
Sat Dec 28 14:04:09 CET 2013: 54: finished (11029ms, 1000cycles)
Sat Dec 28 14:04:09 CET 2013: 54: No solution found.
Sat Dec 28 14:04:20 CET 2013: 55: finished (10880ms, 1000cycles)
Sat Dec 28 14:04:20 CET 2013: 55: No solution found.
Sat Dec 28 14:04:31 CET 2013: 56: finished (11171ms, 1000cycles)
Sat Dec 28 14:04:31 CET 2013: 56: No solution found.
Sat Dec 28 14:04:45 CET 2013: 57: finished (13770ms, 1000cycles)
Sat Dec 28 14:04:45 CET 2013: 57: No solution found.
Sat Dec 28 14:04:58 CET 2013: 58: finished (13336ms, 1000cycles)
Sat Dec 28 14:04:58 CET 2013: 58: No solution found.
Sat Dec 28 14:05:10 CET 2013: 59: finished (11733ms, 1000cycles)
Sat Dec 28 14:05:10 CET 2013: 59: No solution found.
Sat Dec 28 14:05:21 CET 2013: 60: finished (10996ms, 1000cycles)
Sat Dec 28 14:05:21 CET 2013: 60: No solution found.
Sat Dec 28 14:05:35 CET 2013: 61: finished (13861ms, 1000cycles)
Sat Dec 28 14:05:35 CET 2013: 61: No solution found.
Sat Dec 28 14:05:46 CET 2013: 62: finished (10807ms, 1000cycles)
Sat Dec 28 14:05:46 CET 2013: 62: No solution found.
Sat Dec 28 14:05:47 CET 2013: 63: finished (1261ms, 105cycles)
Sat Dec 28 14:05:47 CET 2013: 63: Solution found.
Sat Dec 28 14:06:00 CET 2013: 64: finished (13718ms, 1000cycles)
Sat Dec 28 14:06:00 CET 2013: 64: No solution found.
Sat Dec 28 14:06:02 CET 2013: 65: finished (1337ms, 110cycles)
Sat Dec 28 14:06:02 CET 2013: 65: Solution found.
Sat Dec 28 14:06:13 CET 2013: 66: finished (10975ms, 1000cycles)
Sat Dec 28 14:06:13 CET 2013: 66: No solution found.
Sat Dec 28 14:06:24 CET 2013: 67: finished (11301ms, 1000cycles)
Sat Dec 28 14:06:24 CET 2013: 67: No solution found.
Sat Dec 28 14:06:36 CET 2013: 68: finished (12326ms, 1000cycles)
Sat Dec 28 14:06:36 CET 2013: 68: No solution found.
Sat Dec 28 14:06:49 CET 2013: 69: finished (12593ms, 1000cycles)
Sat Dec 28 14:06:49 CET 2013: 69: No solution found.
Sat Dec 28 14:06:51 CET 2013: 70: finished (2196ms, 187cycles)
Sat Dec 28 14:06:51 CET 2013: 70: Solution found.
Sat Dec 28 14:07:02 CET 2013: 71: finished (10819ms, 1000cycles)
Sat Dec 28 14:07:02 CET 2013: 71: No solution found.
Sat Dec 28 14:07:13 CET 2013: 72: finished (11070ms, 1000cycles)
Sat Dec 28 14:07:13 CET 2013: 72: No solution found.
Sat Dec 28 14:07:24 CET 2013: 73: finished (11286ms, 1000cycles)
Sat Dec 28 14:07:24 CET 2013: 73: No solution found.
Sat Dec 28 14:07:35 CET 2013: 74: finished (10950ms, 1000cycles)
Sat Dec 28 14:07:35 CET 2013: 74: No solution found.
Sat Dec 28 14:07:49 CET 2013: 75: finished (13641ms, 1000cycles)
Sat Dec 28 14:07:49 CET 2013: 75: No solution found.
Sat Dec 28 14:08:03 CET 2013: 76: finished (13725ms, 1000cycles)
Sat Dec 28 14:08:03 CET 2013: 76: No solution found.
Sat Dec 28 14:08:14 CET 2013: 77: finished (11414ms, 1000cycles)
Sat Dec 28 14:08:14 CET 2013: 77: No solution found.
Sat Dec 28 14:08:25 CET 2013: 78: finished (10933ms, 1000cycles)
Sat Dec 28 14:08:25 CET 2013: 78: No solution found.
Sat Dec 28 14:08:36 CET 2013: 79: finished (10991ms, 1000cycles)
Sat Dec 28 14:08:36 CET 2013: 79: No solution found.
