Sat Dec 28 17:35:30 CET 2013: Problem Count: 50
Sat Dec 28 17:35:30 CET 2013: CandidatesCount: 100
Sat Dec 28 17:35:30 CET 2013: Max Cycles: 500
Sat Dec 28 17:35:31 CET 2013: 0: finished (1634ms, 500cycles)
Sat Dec 28 17:35:31 CET 2013: 0: No solution found.
Sat Dec 28 17:35:33 CET 2013: 1: finished (1937ms, 500cycles)
Sat Dec 28 17:35:33 CET 2013: 1: No solution found.
Sat Dec 28 17:35:36 CET 2013: 2: finished (2908ms, 500cycles)
Sat Dec 28 17:35:36 CET 2013: 2: No solution found.
Sat Dec 28 17:35:38 CET 2013: 3: finished (1532ms, 500cycles)
Sat Dec 28 17:35:38 CET 2013: 3: No solution found.
Sat Dec 28 17:35:40 CET 2013: 4: finished (2756ms, 500cycles)
Sat Dec 28 17:35:40 CET 2013: 4: No solution found.
Sat Dec 28 17:35:41 CET 2013: 5: finished (109ms, 32cycles)
Sat Dec 28 17:35:41 CET 2013: 5: Solution found.
Sat Dec 28 17:35:43 CET 2013: 6: finished (2631ms, 500cycles)
Sat Dec 28 17:35:43 CET 2013: 6: No solution found.
Sat Dec 28 17:35:45 CET 2013: 7: finished (1983ms, 500cycles)
Sat Dec 28 17:35:45 CET 2013: 7: No solution found.
Sat Dec 28 17:35:48 CET 2013: 8: finished (2766ms, 500cycles)
Sat Dec 28 17:35:48 CET 2013: 8: No solution found.
Sat Dec 28 17:35:49 CET 2013: 9: finished (1046ms, 199cycles)
Sat Dec 28 17:35:49 CET 2013: 9: Solution found.
Sat Dec 28 17:35:50 CET 2013: 10: finished (1160ms, 234cycles)
Sat Dec 28 17:35:50 CET 2013: 10: Solution found.
Sat Dec 28 17:35:52 CET 2013: 11: finished (1318ms, 500cycles)
Sat Dec 28 17:35:52 CET 2013: 11: No solution found.
Sat Dec 28 17:35:54 CET 2013: 12: finished (2583ms, 500cycles)
Sat Dec 28 17:35:54 CET 2013: 12: No solution found.
Sat Dec 28 17:35:55 CET 2013: 13: finished (1360ms, 500cycles)
Sat Dec 28 17:35:55 CET 2013: 13: No solution found.
Sat Dec 28 17:35:57 CET 2013: 14: finished (1423ms, 500cycles)
Sat Dec 28 17:35:57 CET 2013: 14: No solution found.
Sat Dec 28 17:35:57 CET 2013: 15: finished (120ms, 27cycles)
Sat Dec 28 17:35:57 CET 2013: 15: Solution found.
Sat Dec 28 17:36:00 CET 2013: 16: finished (2564ms, 500cycles)
Sat Dec 28 17:36:00 CET 2013: 16: No solution found.
Sat Dec 28 17:36:01 CET 2013: 17: finished (1048ms, 205cycles)
Sat Dec 28 17:36:01 CET 2013: 17: Solution found.
Sat Dec 28 17:36:03 CET 2013: 18: finished (2575ms, 500cycles)
Sat Dec 28 17:36:03 CET 2013: 18: No solution found.
Sat Dec 28 17:36:05 CET 2013: 19: finished (1416ms, 500cycles)
Sat Dec 28 17:36:05 CET 2013: 19: No solution found.
Sat Dec 28 17:36:07 CET 2013: 20: finished (2518ms, 500cycles)
Sat Dec 28 17:36:07 CET 2013: 20: No solution found.
Sat Dec 28 17:36:09 CET 2013: 21: finished (1752ms, 500cycles)
Sat Dec 28 17:36:09 CET 2013: 21: No solution found.
Sat Dec 28 17:36:11 CET 2013: 22: finished (1730ms, 500cycles)
Sat Dec 28 17:36:11 CET 2013: 22: No solution found.
Sat Dec 28 17:36:11 CET 2013: 23: finished (643ms, 135cycles)
Sat Dec 28 17:36:11 CET 2013: 23: Solution found.
Sat Dec 28 17:36:13 CET 2013: 24: finished (1865ms, 500cycles)
Sat Dec 28 17:36:13 CET 2013: 24: No solution found.
Sat Dec 28 17:36:15 CET 2013: 25: finished (1452ms, 500cycles)
Sat Dec 28 17:36:15 CET 2013: 25: No solution found.
Sat Dec 28 17:36:16 CET 2013: 26: finished (1420ms, 500cycles)
Sat Dec 28 17:36:16 CET 2013: 26: No solution found.
Sat Dec 28 17:36:19 CET 2013: 27: finished (2644ms, 500cycles)
Sat Dec 28 17:36:19 CET 2013: 27: No solution found.
Sat Dec 28 17:36:20 CET 2013: 28: finished (1355ms, 500cycles)
Sat Dec 28 17:36:20 CET 2013: 28: No solution found.
Sat Dec 28 17:36:23 CET 2013: 29: finished (2605ms, 500cycles)
Sat Dec 28 17:36:23 CET 2013: 29: No solution found.
Sat Dec 28 17:36:25 CET 2013: 30: finished (2894ms, 500cycles)
Sat Dec 28 17:36:25 CET 2013: 30: No solution found.
Sat Dec 28 17:36:27 CET 2013: 31: finished (1882ms, 500cycles)
Sat Dec 28 17:36:27 CET 2013: 31: No solution found.
Sat Dec 28 17:36:29 CET 2013: 32: finished (1726ms, 500cycles)
Sat Dec 28 17:36:29 CET 2013: 32: No solution found.
Sat Dec 28 17:36:32 CET 2013: 33: finished (2703ms, 500cycles)
Sat Dec 28 17:36:32 CET 2013: 33: No solution found.
Sat Dec 28 17:36:35 CET 2013: 34: finished (2798ms, 500cycles)
Sat Dec 28 17:36:35 CET 2013: 34: No solution found.
Sat Dec 28 17:36:36 CET 2013: 35: finished (1520ms, 500cycles)
Sat Dec 28 17:36:36 CET 2013: 35: No solution found.
Sat Dec 28 17:36:39 CET 2013: 36: finished (2837ms, 500cycles)
Sat Dec 28 17:36:39 CET 2013: 36: No solution found.
Sat Dec 28 17:36:42 CET 2013: 37: finished (2612ms, 500cycles)
Sat Dec 28 17:36:42 CET 2013: 37: No solution found.
Sat Dec 28 17:36:43 CET 2013: 38: finished (1352ms, 500cycles)
Sat Dec 28 17:36:43 CET 2013: 38: No solution found.
Sat Dec 28 17:36:45 CET 2013: 39: finished (1705ms, 500cycles)
Sat Dec 28 17:36:45 CET 2013: 39: No solution found.
Sat Dec 28 17:36:47 CET 2013: 40: finished (2821ms, 500cycles)
Sat Dec 28 17:36:47 CET 2013: 40: No solution found.
Sat Dec 28 17:36:50 CET 2013: 41: finished (2792ms, 500cycles)
Sat Dec 28 17:36:50 CET 2013: 41: No solution found.
Sat Dec 28 17:36:53 CET 2013: 42: finished (2703ms, 500cycles)
Sat Dec 28 17:36:53 CET 2013: 42: No solution found.
Sat Dec 28 17:36:54 CET 2013: 43: finished (1478ms, 500cycles)
Sat Dec 28 17:36:54 CET 2013: 43: No solution found.
Sat Dec 28 17:36:54 CET 2013: 44: finished (80ms, 27cycles)
Sat Dec 28 17:36:54 CET 2013: 44: Solution found.
Sat Dec 28 17:36:57 CET 2013: 45: finished (2220ms, 500cycles)
Sat Dec 28 17:36:57 CET 2013: 45: No solution found.
Sat Dec 28 17:36:59 CET 2013: 46: finished (2095ms, 500cycles)
Sat Dec 28 17:36:59 CET 2013: 46: No solution found.
Sat Dec 28 17:37:00 CET 2013: 47: finished (1255ms, 500cycles)
