Sat Jan 11 19:39:30 CET 2014: Problem Count: 10
Sat Jan 11 19:39:30 CET 2014: CandidatesCount: 30
Sat Jan 11 19:39:30 CET 2014: Max Cycles: 500
Sat Jan 11 19:39:30 CET 2014: 0: finished (411ms, 500cycles)
Sat Jan 11 19:39:30 CET 2014: 0: No solution found.
Sat Jan 11 19:39:30 CET 2014: 1: finished (303ms, 500cycles)
Sat Jan 11 19:39:30 CET 2014: 1: No solution found.
Sat Jan 11 19:39:31 CET 2014: 2: finished (583ms, 500cycles)
Sat Jan 11 19:39:31 CET 2014: 2: No solution found.
Sat Jan 11 19:39:31 CET 2014: 3: finished (407ms, 500cycles)
Sat Jan 11 19:39:31 CET 2014: 3: No solution found.
Sat Jan 11 19:39:32 CET 2014: 4: finished (367ms, 500cycles)
Sat Jan 11 19:39:32 CET 2014: 4: No solution found.
Sat Jan 11 19:39:32 CET 2014: 5: finished (633ms, 500cycles)
Sat Jan 11 19:39:32 CET 2014: 5: No solution found.
Sat Jan 11 19:39:33 CET 2014: 6: finished (755ms, 500cycles)
Sat Jan 11 19:39:33 CET 2014: 6: No solution found.
Sat Jan 11 19:39:33 CET 2014: 7: finished (274ms, 500cycles)
Sat Jan 11 19:39:33 CET 2014: 7: No solution found.
Sat Jan 11 19:39:34 CET 2014: 8: finished (228ms, 500cycles)
Sat Jan 11 19:39:34 CET 2014: 8: No solution found.
Sat Jan 11 19:39:34 CET 2014: 9: finished (197ms, 500cycles)
Sat Jan 11 19:39:34 CET 2014: 9: No solution found.
Sat Jan 11 19:39:34 CET 2014: 10: finished (190ms, 500cycles)
Sat Jan 11 19:39:34 CET 2014: 10: No solution found.
Sat Jan 11 19:39:34 CET 2014: 11: finished (135ms, 500cycles)
Sat Jan 11 19:39:34 CET 2014: 11: No solution found.
Sat Jan 11 19:39:34 CET 2014: 12: finished (272ms, 500cycles)
Sat Jan 11 19:39:34 CET 2014: 12: No solution found.
Sat Jan 11 19:39:35 CET 2014: 13: finished (197ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 13: No solution found.
Sat Jan 11 19:39:35 CET 2014: 14: finished (216ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 14: No solution found.
Sat Jan 11 19:39:35 CET 2014: 15: finished (112ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 15: No solution found.
Sat Jan 11 19:39:35 CET 2014: 16: finished (149ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 16: No solution found.
Sat Jan 11 19:39:35 CET 2014: 17: finished (183ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 17: No solution found.
Sat Jan 11 19:39:35 CET 2014: 18: finished (205ms, 500cycles)
Sat Jan 11 19:39:35 CET 2014: 18: No solution found.
Sat Jan 11 19:39:36 CET 2014: 19: finished (268ms, 500cycles)
Sat Jan 11 19:39:36 CET 2014: 19: No solution found.
Sat Jan 11 19:39:36 CET 2014: 20: finished (168ms, 500cycles)
Sat Jan 11 19:39:36 CET 2014: 20: No solution found.
Sat Jan 11 19:39:36 CET 2014: 21: finished (179ms, 500cycles)
Sat Jan 11 19:39:36 CET 2014: 21: No solution found.
Sat Jan 11 19:39:36 CET 2014: 22: finished (251ms, 500cycles)
Sat Jan 11 19:39:36 CET 2014: 22: No solution found.
Sat Jan 11 19:39:37 CET 2014: 23: finished (245ms, 500cycles)
Sat Jan 11 19:39:37 CET 2014: 23: No solution found.
Sat Jan 11 19:39:37 CET 2014: 24: finished (165ms, 500cycles)
Sat Jan 11 19:39:37 CET 2014: 24: No solution found.
Sat Jan 11 19:39:37 CET 2014: 25: finished (237ms, 500cycles)
Sat Jan 11 19:39:37 CET 2014: 25: No solution found.
Sat Jan 11 19:39:37 CET 2014: 26: finished (223ms, 500cycles)
Sat Jan 11 19:39:37 CET 2014: 26: No solution found.
Sat Jan 11 19:39:37 CET 2014: 27: finished (232ms, 500cycles)
Sat Jan 11 19:39:37 CET 2014: 27: No solution found.
Sat Jan 11 19:39:38 CET 2014: 28: finished (224ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 28: No solution found.
Sat Jan 11 19:39:38 CET 2014: 29: finished (125ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 29: No solution found.
Sat Jan 11 19:39:38 CET 2014: 30: finished (156ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 30: No solution found.
Sat Jan 11 19:39:38 CET 2014: 31: finished (226ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 31: No solution found.
Sat Jan 11 19:39:38 CET 2014: 32: finished (179ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 32: No solution found.
Sat Jan 11 19:39:38 CET 2014: 33: finished (100ms, 500cycles)
Sat Jan 11 19:39:38 CET 2014: 33: No solution found.
Sat Jan 11 19:39:39 CET 2014: 34: finished (254ms, 500cycles)
Sat Jan 11 19:39:39 CET 2014: 34: No solution found.
Sat Jan 11 19:39:39 CET 2014: 35: finished (233ms, 500cycles)
Sat Jan 11 19:39:39 CET 2014: 35: No solution found.
Sat Jan 11 19:39:39 CET 2014: 36: finished (226ms, 500cycles)
Sat Jan 11 19:39:39 CET 2014: 36: No solution found.
Sat Jan 11 19:39:39 CET 2014: 37: finished (251ms, 500cycles)
Sat Jan 11 19:39:39 CET 2014: 37: No solution found.
Sat Jan 11 19:39:40 CET 2014: 38: finished (246ms, 500cycles)
Sat Jan 11 19:39:40 CET 2014: 38: No solution found.
Sat Jan 11 19:39:40 CET 2014: 39: finished (170ms, 500cycles)
Sat Jan 11 19:39:40 CET 2014: 39: No solution found.
Sat Jan 11 19:39:40 CET 2014: 40: finished (128ms, 500cycles)
Sat Jan 11 19:39:40 CET 2014: 40: No solution found.
Sat Jan 11 19:39:40 CET 2014: 41: finished (215ms, 500cycles)
Sat Jan 11 19:39:40 CET 2014: 41: No solution found.
Sat Jan 11 19:39:40 CET 2014: 42: finished (224ms, 500cycles)
Sat Jan 11 19:39:40 CET 2014: 42: No solution found.
