Fri Dec 27 20:20:38 CET 2013: Problem Count: 50
Fri Dec 27 20:20:38 CET 2013: CandidatesCount: 100
Fri Dec 27 20:20:38 CET 2013: Max Cycles: 2000
Fri Dec 27 20:20:55 CET 2013: 0: finished (17307ms, 2000cycles)
Fri Dec 27 20:20:55 CET 2013: 0: No solution found.
Fri Dec 27 20:21:11 CET 2013: 1: finished (16219ms, 2000cycles)
Fri Dec 27 20:21:11 CET 2013: 1: No solution found.
Fri Dec 27 20:21:27 CET 2013: 2: finished (16364ms, 2000cycles)
Fri Dec 27 20:21:27 CET 2013: 2: No solution found.
Fri Dec 27 20:21:44 CET 2013: 3: finished (16746ms, 2000cycles)
Fri Dec 27 20:21:44 CET 2013: 3: No solution found.
Fri Dec 27 20:22:01 CET 2013: 4: finished (16521ms, 2000cycles)
Fri Dec 27 20:22:01 CET 2013: 4: No solution found.
Fri Dec 27 20:22:18 CET 2013: 5: finished (17127ms, 2000cycles)
Fri Dec 27 20:22:18 CET 2013: 5: No solution found.
Fri Dec 27 20:22:35 CET 2013: 6: finished (16844ms, 2000cycles)
Fri Dec 27 20:22:35 CET 2013: 6: No solution found.
Fri Dec 27 20:22:51 CET 2013: 7: finished (16239ms, 2000cycles)
Fri Dec 27 20:22:51 CET 2013: 7: No solution found.
Fri Dec 27 20:23:08 CET 2013: 8: finished (16797ms, 2000cycles)
Fri Dec 27 20:23:08 CET 2013: 8: No solution found.
Fri Dec 27 20:23:24 CET 2013: 9: finished (16140ms, 2000cycles)
Fri Dec 27 20:23:24 CET 2013: 9: No solution found.
Fri Dec 27 20:23:41 CET 2013: 10: finished (16650ms, 2000cycles)
Fri Dec 27 20:23:41 CET 2013: 10: No solution found.
Fri Dec 27 20:23:57 CET 2013: 11: finished (16294ms, 2000cycles)
Fri Dec 27 20:23:57 CET 2013: 11: No solution found.
Fri Dec 27 20:24:13 CET 2013: 12: finished (16291ms, 2000cycles)
Fri Dec 27 20:24:13 CET 2013: 12: No solution found.
Fri Dec 27 20:24:30 CET 2013: 13: finished (16636ms, 2000cycles)
Fri Dec 27 20:24:30 CET 2013: 13: No solution found.
Fri Dec 27 20:24:46 CET 2013: 14: finished (16122ms, 2000cycles)
Fri Dec 27 20:24:46 CET 2013: 14: No solution found.
Fri Dec 27 20:25:05 CET 2013: 15: finished (18996ms, 2000cycles)
Fri Dec 27 20:25:05 CET 2013: 15: No solution found.
Fri Dec 27 20:25:21 CET 2013: 16: finished (16122ms, 2000cycles)
Fri Dec 27 20:25:21 CET 2013: 16: No solution found.
Fri Dec 27 20:25:28 CET 2013: 17: finished (7002ms, 765cycles)
Fri Dec 27 20:25:28 CET 2013: 17: Solution found.
Fri Dec 27 20:25:29 CET 2013: 18: finished (795ms, 80cycles)
Fri Dec 27 20:25:29 CET 2013: 18: Solution found.
Fri Dec 27 20:25:48 CET 2013: 19: finished (19362ms, 2000cycles)
Fri Dec 27 20:25:48 CET 2013: 19: No solution found.
Fri Dec 27 20:26:05 CET 2013: 20: finished (16421ms, 2000cycles)
Fri Dec 27 20:26:05 CET 2013: 20: No solution found.
Fri Dec 27 20:26:21 CET 2013: 21: finished (16035ms, 2000cycles)
Fri Dec 27 20:26:21 CET 2013: 21: No solution found.
Fri Dec 27 20:26:40 CET 2013: 22: finished (18968ms, 2000cycles)
