Sat Jan 11 16:51:51 CET 2014: Problem Count: 40
Sat Jan 11 16:51:51 CET 2014: CandidatesCount: 50
Sat Jan 11 16:51:51 CET 2014: Max Cycles: 500
Sat Jan 11 16:51:52 CET 2014: 0: finished (877ms, 500cycles)
Sat Jan 11 16:51:52 CET 2014: 0: No solution found.
Sat Jan 11 16:51:53 CET 2014: 1: finished (1361ms, 500cycles)
Sat Jan 11 16:51:53 CET 2014: 1: No solution found.
Sat Jan 11 16:51:54 CET 2014: 2: finished (956ms, 500cycles)
Sat Jan 11 16:51:54 CET 2014: 2: No solution found.
Sat Jan 11 16:51:55 CET 2014: 3: finished (1015ms, 500cycles)
Sat Jan 11 16:51:55 CET 2014: 3: No solution found.
Sat Jan 11 16:51:56 CET 2014: 4: finished (652ms, 500cycles)
Sat Jan 11 16:51:56 CET 2014: 4: No solution found.
Sat Jan 11 16:51:56 CET 2014: 5: finished (333ms, 500cycles)
Sat Jan 11 16:51:56 CET 2014: 5: No solution found.
Sat Jan 11 16:51:56 CET 2014: 6: finished (420ms, 500cycles)
Sat Jan 11 16:51:56 CET 2014: 6: No solution found.
Sat Jan 11 16:51:57 CET 2014: 7: finished (401ms, 500cycles)
Sat Jan 11 16:51:57 CET 2014: 7: No solution found.
Sat Jan 11 16:51:57 CET 2014: 8: finished (377ms, 500cycles)
Sat Jan 11 16:51:57 CET 2014: 8: No solution found.
Sat Jan 11 16:51:58 CET 2014: 9: finished (480ms, 500cycles)
Sat Jan 11 16:51:58 CET 2014: 9: No solution found.
Sat Jan 11 16:51:58 CET 2014: 10: finished (435ms, 500cycles)
Sat Jan 11 16:51:58 CET 2014: 10: No solution found.
Sat Jan 11 16:51:58 CET 2014: 11: finished (358ms, 500cycles)
Sat Jan 11 16:51:58 CET 2014: 11: No solution found.
Sat Jan 11 16:51:59 CET 2014: 12: finished (415ms, 500cycles)
Sat Jan 11 16:51:59 CET 2014: 12: No solution found.
Sat Jan 11 16:51:59 CET 2014: 13: finished (465ms, 500cycles)
Sat Jan 11 16:51:59 CET 2014: 13: No solution found.
Sat Jan 11 16:52:00 CET 2014: 14: finished (433ms, 500cycles)
Sat Jan 11 16:52:00 CET 2014: 14: No solution found.
Sat Jan 11 16:52:00 CET 2014: 15: finished (422ms, 500cycles)
Sat Jan 11 16:52:00 CET 2014: 15: No solution found.
Sat Jan 11 16:52:01 CET 2014: 16: finished (415ms, 500cycles)
Sat Jan 11 16:52:01 CET 2014: 16: No solution found.
Sat Jan 11 16:52:01 CET 2014: 17: finished (544ms, 500cycles)
Sat Jan 11 16:52:01 CET 2014: 17: No solution found.
Sat Jan 11 16:52:02 CET 2014: 18: finished (428ms, 500cycles)
Sat Jan 11 16:52:02 CET 2014: 18: No solution found.
Sat Jan 11 16:52:02 CET 2014: 19: finished (449ms, 500cycles)
Sat Jan 11 16:52:02 CET 2014: 19: No solution found.
Sat Jan 11 16:52:02 CET 2014: 20: finished (432ms, 500cycles)
Sat Jan 11 16:52:02 CET 2014: 20: No solution found.
Sat Jan 11 16:52:03 CET 2014: 21: finished (498ms, 500cycles)
Sat Jan 11 16:52:03 CET 2014: 21: No solution found.
Sat Jan 11 16:52:03 CET 2014: 22: finished (475ms, 500cycles)
Sat Jan 11 16:52:03 CET 2014: 22: No solution found.
Sat Jan 11 16:52:04 CET 2014: 23: finished (509ms, 500cycles)
Sat Jan 11 16:52:04 CET 2014: 23: No solution found.
Sat Jan 11 16:52:04 CET 2014: 24: finished (400ms, 500cycles)
Sat Jan 11 16:52:04 CET 2014: 24: No solution found.
Sat Jan 11 16:52:05 CET 2014: 25: finished (385ms, 500cycles)
Sat Jan 11 16:52:05 CET 2014: 25: No solution found.
Sat Jan 11 16:52:05 CET 2014: 26: finished (545ms, 500cycles)
Sat Jan 11 16:52:05 CET 2014: 26: No solution found.
Sat Jan 11 16:52:06 CET 2014: 27: finished (451ms, 500cycles)
Sat Jan 11 16:52:06 CET 2014: 27: No solution found.
Sat Jan 11 16:52:06 CET 2014: 28: finished (698ms, 500cycles)
Sat Jan 11 16:52:06 CET 2014: 28: No solution found.
Sat Jan 11 16:52:07 CET 2014: 29: finished (950ms, 500cycles)
Sat Jan 11 16:52:07 CET 2014: 29: No solution found.
Sat Jan 11 16:52:08 CET 2014: 30: finished (940ms, 500cycles)
Sat Jan 11 16:52:08 CET 2014: 30: No solution found.
Sat Jan 11 16:52:10 CET 2014: 31: finished (1559ms, 500cycles)
Sat Jan 11 16:52:10 CET 2014: 31: No solution found.
Sat Jan 11 16:52:11 CET 2014: 32: finished (933ms, 500cycles)
Sat Jan 11 16:52:11 CET 2014: 32: No solution found.
Sat Jan 11 16:52:11 CET 2014: 33: finished (338ms, 500cycles)
Sat Jan 11 16:52:11 CET 2014: 33: No solution found.
Sat Jan 11 16:52:12 CET 2014: 34: finished (510ms, 500cycles)
Sat Jan 11 16:52:12 CET 2014: 34: No solution found.
Sat Jan 11 16:52:12 CET 2014: 35: finished (481ms, 500cycles)
Sat Jan 11 16:52:12 CET 2014: 35: No solution found.
Sat Jan 11 16:52:12 CET 2014: 36: finished (365ms, 500cycles)
Sat Jan 11 16:52:12 CET 2014: 36: No solution found.
Sat Jan 11 16:52:13 CET 2014: 37: finished (477ms, 500cycles)
Sat Jan 11 16:52:13 CET 2014: 37: No solution found.
Sat Jan 11 16:52:13 CET 2014: 38: finished (476ms, 500cycles)
Sat Jan 11 16:52:13 CET 2014: 38: No solution found.
Sat Jan 11 16:52:14 CET 2014: 39: finished (338ms, 500cycles)
Sat Jan 11 16:52:14 CET 2014: 39: No solution found.
Sat Jan 11 16:52:14 CET 2014: 40: finished (427ms, 500cycles)
Sat Jan 11 16:52:14 CET 2014: 40: No solution found.
Sat Jan 11 16:52:15 CET 2014: 41: finished (577ms, 500cycles)
Sat Jan 11 16:52:15 CET 2014: 41: No solution found.
Sat Jan 11 16:52:15 CET 2014: 42: finished (431ms, 500cycles)
Sat Jan 11 16:52:15 CET 2014: 42: No solution found.
Sat Jan 11 16:52:16 CET 2014: 43: finished (405ms, 500cycles)
Sat Jan 11 16:52:16 CET 2014: 43: No solution found.
Sat Jan 11 16:52:16 CET 2014: 44: finished (411ms, 500cycles)
Sat Jan 11 16:52:16 CET 2014: 44: No solution found.
Sat Jan 11 16:52:16 CET 2014: 45: finished (443ms, 500cycles)
Sat Jan 11 16:52:16 CET 2014: 45: No solution found.
Sat Jan 11 16:52:17 CET 2014: 46: finished (434ms, 500cycles)
Sat Jan 11 16:52:17 CET 2014: 46: No solution found.
Sat Jan 11 16:52:17 CET 2014: 47: finished (553ms, 500cycles)
Sat Jan 11 16:52:17 CET 2014: 47: No solution found.
Sat Jan 11 16:52:18 CET 2014: 48: finished (445ms, 500cycles)
Sat Jan 11 16:52:18 CET 2014: 48: No solution found.
Sat Jan 11 16:52:18 CET 2014: 49: finished (414ms, 500cycles)
Sat Jan 11 16:52:18 CET 2014: 49: No solution found.
Sat Jan 11 16:52:19 CET 2014: 50: finished (434ms, 500cycles)
Sat Jan 11 16:52:19 CET 2014: 50: No solution found.
Sat Jan 11 16:52:19 CET 2014: 51: finished (465ms, 500cycles)
Sat Jan 11 16:52:19 CET 2014: 51: No solution found.
Sat Jan 11 16:52:20 CET 2014: 52: finished (429ms, 500cycles)
Sat Jan 11 16:52:20 CET 2014: 52: No solution found.
Sat Jan 11 16:52:20 CET 2014: 53: finished (538ms, 500cycles)
Sat Jan 11 16:52:20 CET 2014: 53: No solution found.
Sat Jan 11 16:52:21 CET 2014: 54: finished (390ms, 500cycles)
Sat Jan 11 16:52:21 CET 2014: 54: No solution found.
Sat Jan 11 16:52:21 CET 2014: 55: finished (366ms, 500cycles)
Sat Jan 11 16:52:21 CET 2014: 55: No solution found.
Sat Jan 11 16:52:21 CET 2014: 56: finished (506ms, 500cycles)
Sat Jan 11 16:52:21 CET 2014: 56: No solution found.
Sat Jan 11 16:52:23 CET 2014: 57: finished (1103ms, 500cycles)
Sat Jan 11 16:52:23 CET 2014: 57: No solution found.
Sat Jan 11 16:52:23 CET 2014: 58: finished (904ms, 500cycles)
Sat Jan 11 16:52:23 CET 2014: 58: No solution found.
Sat Jan 11 16:52:25 CET 2014: 59: finished (1524ms, 500cycles)
Sat Jan 11 16:52:25 CET 2014: 59: No solution found.
Sat Jan 11 16:52:26 CET 2014: 60: finished (945ms, 500cycles)
Sat Jan 11 16:52:26 CET 2014: 60: No solution found.
Sat Jan 11 16:52:27 CET 2014: 61: finished (911ms, 500cycles)
Sat Jan 11 16:52:27 CET 2014: 61: No solution found.
Sat Jan 11 16:52:28 CET 2014: 62: finished (810ms, 500cycles)
Sat Jan 11 16:52:28 CET 2014: 62: No solution found.
Sat Jan 11 16:52:28 CET 2014: 63: finished (488ms, 500cycles)
Sat Jan 11 16:52:28 CET 2014: 63: No solution found.
Sat Jan 11 16:52:28 CET 2014: 64: finished (343ms, 500cycles)
Sat Jan 11 16:52:28 CET 2014: 64: No solution found.
Sat Jan 11 16:52:29 CET 2014: 65: finished (668ms, 500cycles)
Sat Jan 11 16:52:29 CET 2014: 65: No solution found.
Sat Jan 11 16:52:30 CET 2014: 66: finished (521ms, 500cycles)
Sat Jan 11 16:52:30 CET 2014: 66: No solution found.
Sat Jan 11 16:52:30 CET 2014: 67: finished (361ms, 500cycles)
Sat Jan 11 16:52:30 CET 2014: 67: No solution found.
Sat Jan 11 16:52:31 CET 2014: 68: finished (568ms, 500cycles)
Sat Jan 11 16:52:31 CET 2014: 68: No solution found.
Sat Jan 11 16:52:31 CET 2014: 69: finished (598ms, 500cycles)
Sat Jan 11 16:52:31 CET 2014: 69: No solution found.
Sat Jan 11 16:52:32 CET 2014: 70: finished (469ms, 500cycles)
Sat Jan 11 16:52:32 CET 2014: 70: No solution found.
Sat Jan 11 16:52:32 CET 2014: 71: finished (504ms, 500cycles)
Sat Jan 11 16:52:32 CET 2014: 71: No solution found.
Sat Jan 11 16:52:33 CET 2014: 72: finished (619ms, 500cycles)
Sat Jan 11 16:52:33 CET 2014: 72: No solution found.
Sat Jan 11 16:52:33 CET 2014: 73: finished (447ms, 500cycles)
Sat Jan 11 16:52:33 CET 2014: 73: No solution found.
Sat Jan 11 16:52:34 CET 2014: 74: finished (429ms, 500cycles)
Sat Jan 11 16:52:34 CET 2014: 74: No solution found.
Sat Jan 11 16:52:34 CET 2014: 75: finished (519ms, 500cycles)
Sat Jan 11 16:52:34 CET 2014: 75: No solution found.
Sat Jan 11 16:52:35 CET 2014: 76: finished (478ms, 500cycles)
Sat Jan 11 16:52:35 CET 2014: 76: No solution found.
Sat Jan 11 16:52:35 CET 2014: 77: finished (591ms, 500cycles)
Sat Jan 11 16:52:35 CET 2014: 77: No solution found.
Sat Jan 11 16:52:36 CET 2014: 78: finished (456ms, 500cycles)
Sat Jan 11 16:52:36 CET 2014: 78: No solution found.
Sat Jan 11 16:52:36 CET 2014: 79: finished (407ms, 500cycles)
Sat Jan 11 16:52:36 CET 2014: 79: No solution found.
Sat Jan 11 16:52:37 CET 2014: 80: finished (408ms, 500cycles)
Sat Jan 11 16:52:37 CET 2014: 80: No solution found.
Sat Jan 11 16:52:37 CET 2014: 81: finished (410ms, 500cycles)
Sat Jan 11 16:52:37 CET 2014: 81: No solution found.
Sat Jan 11 16:52:37 CET 2014: 82: finished (448ms, 500cycles)
Sat Jan 11 16:52:37 CET 2014: 82: No solution found.
Sat Jan 11 16:52:38 CET 2014: 83: finished (374ms, 500cycles)
Sat Jan 11 16:52:38 CET 2014: 83: No solution found.
Sat Jan 11 16:52:38 CET 2014: 84: finished (355ms, 500cycles)
Sat Jan 11 16:52:38 CET 2014: 84: No solution found.
Sat Jan 11 16:52:39 CET 2014: 85: finished (716ms, 500cycles)
Sat Jan 11 16:52:39 CET 2014: 85: No solution found.
Sat Jan 11 16:52:40 CET 2014: 86: finished (938ms, 500cycles)
Sat Jan 11 16:52:40 CET 2014: 86: No solution found.
Sat Jan 11 16:52:41 CET 2014: 87: finished (1101ms, 500cycles)
Sat Jan 11 16:52:41 CET 2014: 87: No solution found.
Sat Jan 11 16:52:42 CET 2014: 88: finished (1101ms, 500cycles)
Sat Jan 11 16:52:42 CET 2014: 88: No solution found.
Sat Jan 11 16:52:43 CET 2014: 89: finished (1070ms, 500cycles)
Sat Jan 11 16:52:43 CET 2014: 89: No solution found.
Sat Jan 11 16:52:43 CET 2014: 90: finished (432ms, 500cycles)
Sat Jan 11 16:52:43 CET 2014: 90: No solution found.
Sat Jan 11 16:52:44 CET 2014: 91: finished (388ms, 500cycles)
Sat Jan 11 16:52:44 CET 2014: 91: No solution found.
Sat Jan 11 16:52:44 CET 2014: 92: finished (523ms, 500cycles)
Sat Jan 11 16:52:44 CET 2014: 92: No solution found.
Sat Jan 11 16:52:45 CET 2014: 93: finished (391ms, 500cycles)
Sat Jan 11 16:52:45 CET 2014: 93: No solution found.
Sat Jan 11 16:52:45 CET 2014: 94: finished (467ms, 500cycles)
Sat Jan 11 16:52:45 CET 2014: 94: No solution found.
Sat Jan 11 16:52:46 CET 2014: 95: finished (467ms, 500cycles)
Sat Jan 11 16:52:46 CET 2014: 95: No solution found.
Sat Jan 11 16:52:46 CET 2014: 96: finished (421ms, 500cycles)
Sat Jan 11 16:52:46 CET 2014: 96: No solution found.
Sat Jan 11 16:52:47 CET 2014: 97: finished (524ms, 500cycles)
Sat Jan 11 16:52:47 CET 2014: 97: No solution found.
Sat Jan 11 16:52:47 CET 2014: 98: finished (437ms, 500cycles)
Sat Jan 11 16:52:47 CET 2014: 98: No solution found.
Sat Jan 11 16:52:48 CET 2014: 99: finished (522ms, 500cycles)
Sat Jan 11 16:52:48 CET 2014: 99: No solution found.
Sat Jan 11 16:52:48 CET 2014: Solution Found: 0
Sat Jan 11 16:52:48 CET 2014: Avg cycles: 48
Sat Jan 11 16:52:48 CET 2014: Max cycles: 0
Sat Jan 11 16:52:48 CET 2014: Min cycles: 10000
Sat Jan 11 16:52:48 CET 2014: No solution found: 100
Sat Jan 11 16:52:48 CET 2014: logging finished. (runtime: 56852ms)
