Sat Dec 28 00:06:47 CET 2013: Problem Count: 250
Sat Dec 28 00:06:47 CET 2013: CandidatesCount: 100
Sat Dec 28 00:06:47 CET 2013: Max Cycles: 500
Sat Dec 28 00:06:48 CET 2013: 0: finished (825ms, 42cycles)
Sat Dec 28 00:06:48 CET 2013: 0: Solution found.
Sat Dec 28 00:06:57 CET 2013: 1: finished (9527ms, 500cycles)
Sat Dec 28 00:06:57 CET 2013: 1: No solution found.
Sat Dec 28 00:07:07 CET 2013: 2: finished (9314ms, 500cycles)
Sat Dec 28 00:07:07 CET 2013: 2: No solution found.
Sat Dec 28 00:07:08 CET 2013: 3: finished (1592ms, 82cycles)
Sat Dec 28 00:07:08 CET 2013: 3: Solution found.
Sat Dec 28 00:07:18 CET 2013: 4: finished (9383ms, 500cycles)
Sat Dec 28 00:07:18 CET 2013: 4: No solution found.
Sat Dec 28 00:07:27 CET 2013: 5: finished (9353ms, 500cycles)
Sat Dec 28 00:07:27 CET 2013: 5: No solution found.
Sat Dec 28 00:07:36 CET 2013: 6: finished (9159ms, 500cycles)
Sat Dec 28 00:07:36 CET 2013: 6: No solution found.
Sat Dec 28 00:07:46 CET 2013: 7: finished (9491ms, 500cycles)
Sat Dec 28 00:07:46 CET 2013: 7: No solution found.
Sat Dec 28 00:07:55 CET 2013: 8: finished (9460ms, 500cycles)
Sat Dec 28 00:07:55 CET 2013: 8: No solution found.
Sat Dec 28 00:08:05 CET 2013: 9: finished (9609ms, 500cycles)
Sat Dec 28 00:08:05 CET 2013: 9: No solution found.
Sat Dec 28 00:08:16 CET 2013: 10: finished (10841ms, 500cycles)
Sat Dec 28 00:08:16 CET 2013: 10: No solution found.
Sat Dec 28 00:08:26 CET 2013: 11: finished (10020ms, 500cycles)
Sat Dec 28 00:08:26 CET 2013: 11: No solution found.
Sat Dec 28 00:08:35 CET 2013: 12: finished (9437ms, 500cycles)
Sat Dec 28 00:08:35 CET 2013: 12: No solution found.
Sat Dec 28 00:08:43 CET 2013: 13: finished (7838ms, 500cycles)
Sat Dec 28 00:08:43 CET 2013: 13: No solution found.
Sat Dec 28 00:08:51 CET 2013: 14: finished (8659ms, 500cycles)
Sat Dec 28 00:08:51 CET 2013: 14: No solution found.
Sat Dec 28 00:09:01 CET 2013: 15: finished (9509ms, 500cycles)
Sat Dec 28 00:09:01 CET 2013: 15: No solution found.
Sat Dec 28 00:09:11 CET 2013: 16: finished (9570ms, 500cycles)
Sat Dec 28 00:09:11 CET 2013: 16: No solution found.
Sat Dec 28 00:09:20 CET 2013: 17: finished (9836ms, 500cycles)
Sat Dec 28 00:09:20 CET 2013: 17: No solution found.
Sat Dec 28 00:09:30 CET 2013: 18: finished (9618ms, 500cycles)
Sat Dec 28 00:09:30 CET 2013: 18: No solution found.
Sat Dec 28 00:09:39 CET 2013: 19: finished (9085ms, 500cycles)
Sat Dec 28 00:09:39 CET 2013: 19: No solution found.
Sat Dec 28 00:09:49 CET 2013: 20: finished (10262ms, 500cycles)
Sat Dec 28 00:09:49 CET 2013: 20: No solution found.
Sat Dec 28 00:09:58 CET 2013: 21: finished (8428ms, 500cycles)
Sat Dec 28 00:09:58 CET 2013: 21: No solution found.
Sat Dec 28 00:10:09 CET 2013: 22: finished (11365ms, 500cycles)
Sat Dec 28 00:10:09 CET 2013: 22: No solution found.
Sat Dec 28 00:10:18 CET 2013: 23: finished (8935ms, 500cycles)
Sat Dec 28 00:10:18 CET 2013: 23: No solution found.
Sat Dec 28 00:10:28 CET 2013: 24: finished (9451ms, 500cycles)
Sat Dec 28 00:10:28 CET 2013: 24: No solution found.
Sat Dec 28 00:10:28 CET 2013: 25: finished (900ms, 48cycles)
Sat Dec 28 00:10:28 CET 2013: 25: Solution found.
Sat Dec 28 00:10:38 CET 2013: 26: finished (9236ms, 500cycles)
Sat Dec 28 00:10:38 CET 2013: 26: No solution found.
Sat Dec 28 00:10:47 CET 2013: 27: finished (9364ms, 500cycles)
Sat Dec 28 00:10:47 CET 2013: 27: No solution found.
Sat Dec 28 00:10:57 CET 2013: 28: finished (9778ms, 500cycles)
Sat Dec 28 00:10:57 CET 2013: 28: No solution found.
Sat Dec 28 00:11:06 CET 2013: 29: finished (8999ms, 500cycles)
Sat Dec 28 00:11:06 CET 2013: 29: No solution found.
Sat Dec 28 00:11:15 CET 2013: 30: finished (9157ms, 500cycles)
Sat Dec 28 00:11:15 CET 2013: 30: No solution found.
Sat Dec 28 00:11:26 CET 2013: 31: finished (11234ms, 500cycles)
Sat Dec 28 00:11:26 CET 2013: 31: No solution found.
Sat Dec 28 00:11:35 CET 2013: 32: finished (8567ms, 500cycles)
Sat Dec 28 00:11:35 CET 2013: 32: No solution found.
Sat Dec 28 00:11:43 CET 2013: 33: finished (8425ms, 500cycles)
Sat Dec 28 00:11:43 CET 2013: 33: No solution found.
Sat Dec 28 00:11:53 CET 2013: 34: finished (9481ms, 500cycles)
Sat Dec 28 00:11:53 CET 2013: 34: No solution found.
Sat Dec 28 00:12:02 CET 2013: 35: finished (9216ms, 500cycles)
Sat Dec 28 00:12:02 CET 2013: 35: No solution found.
Sat Dec 28 00:12:11 CET 2013: 36: finished (9420ms, 500cycles)
Sat Dec 28 00:12:11 CET 2013: 36: No solution found.
Sat Dec 28 00:12:20 CET 2013: 37: finished (8868ms, 500cycles)
Sat Dec 28 00:12:20 CET 2013: 37: No solution found.
Sat Dec 28 00:12:33 CET 2013: 38: finished (12650ms, 500cycles)
Sat Dec 28 00:12:33 CET 2013: 38: No solution found.
Sat Dec 28 00:12:42 CET 2013: 39: finished (9432ms, 500cycles)
Sat Dec 28 00:12:42 CET 2013: 39: No solution found.
Sat Dec 28 00:12:43 CET 2013: 40: finished (778ms, 40cycles)
Sat Dec 28 00:12:43 CET 2013: 40: Solution found.
Sat Dec 28 00:12:53 CET 2013: 41: finished (9658ms, 500cycles)
Sat Dec 28 00:12:53 CET 2013: 41: No solution found.
Sat Dec 28 00:13:01 CET 2013: 42: finished (8305ms, 500cycles)
Sat Dec 28 00:13:01 CET 2013: 42: No solution found.
Sat Dec 28 00:13:08 CET 2013: 43: finished (6958ms, 324cycles)
Sat Dec 28 00:13:08 CET 2013: 43: Solution found.
Sat Dec 28 00:13:19 CET 2013: 44: finished (10691ms, 500cycles)
Sat Dec 28 00:13:19 CET 2013: 44: No solution found.
Sat Dec 28 00:13:27 CET 2013: 45: finished (8679ms, 500cycles)
Sat Dec 28 00:13:27 CET 2013: 45: No solution found.
Sat Dec 28 00:13:37 CET 2013: 46: finished (9643ms, 500cycles)
Sat Dec 28 00:13:37 CET 2013: 46: No solution found.
Sat Dec 28 00:13:46 CET 2013: 47: finished (9109ms, 500cycles)
Sat Dec 28 00:13:46 CET 2013: 47: No solution found.
Sat Dec 28 00:13:56 CET 2013: 48: finished (9533ms, 500cycles)
Sat Dec 28 00:13:56 CET 2013: 48: No solution found.
Sat Dec 28 00:14:05 CET 2013: 49: finished (9770ms, 500cycles)
Sat Dec 28 00:14:05 CET 2013: 49: No solution found.
Sat Dec 28 00:14:06 CET 2013: 50: finished (810ms, 43cycles)
Sat Dec 28 00:14:06 CET 2013: 50: Solution found.
Sat Dec 28 00:14:07 CET 2013: 51: finished (758ms, 36cycles)
Sat Dec 28 00:14:07 CET 2013: 51: Solution found.
Sat Dec 28 00:14:08 CET 2013: 52: finished (739ms, 30cycles)
Sat Dec 28 00:14:08 CET 2013: 52: Solution found.
Sat Dec 28 00:14:17 CET 2013: 53: finished (9771ms, 500cycles)
Sat Dec 28 00:14:17 CET 2013: 53: No solution found.
Sat Dec 28 00:14:28 CET 2013: 54: finished (10502ms, 500cycles)
Sat Dec 28 00:14:28 CET 2013: 54: No solution found.
Sat Dec 28 00:14:39 CET 2013: 55: finished (10907ms, 500cycles)
Sat Dec 28 00:14:39 CET 2013: 55: No solution found.
Sat Dec 28 00:14:51 CET 2013: 56: finished (11981ms, 500cycles)
Sat Dec 28 00:14:51 CET 2013: 56: No solution found.
Sat Dec 28 00:14:59 CET 2013: 57: finished (8499ms, 500cycles)
Sat Dec 28 00:14:59 CET 2013: 57: No solution found.
Sat Dec 28 00:15:08 CET 2013: 58: finished (8865ms, 500cycles)
Sat Dec 28 00:15:08 CET 2013: 58: No solution found.
Sat Dec 28 00:15:10 CET 2013: 59: finished (1298ms, 66cycles)
Sat Dec 28 00:15:10 CET 2013: 59: Solution found.
Sat Dec 28 00:15:11 CET 2013: 60: finished (1074ms, 52cycles)
Sat Dec 28 00:15:11 CET 2013: 60: Solution found.
Sat Dec 28 00:15:20 CET 2013: 61: finished (9624ms, 500cycles)
Sat Dec 28 00:15:20 CET 2013: 61: No solution found.
Sat Dec 28 00:15:30 CET 2013: 62: finished (9295ms, 500cycles)
Sat Dec 28 00:15:30 CET 2013: 62: No solution found.
Sat Dec 28 00:15:38 CET 2013: 63: finished (8526ms, 500cycles)
Sat Dec 28 00:15:38 CET 2013: 63: No solution found.
Sat Dec 28 00:15:47 CET 2013: 64: finished (9437ms, 500cycles)
